MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
8487909000,"O-RING NES AND OTHER MACHINERY PARTS, NOT CONTAINING ELECTRICAL CONNECTORS… ETC, NES.",NMB,NETHERLANDS, 20.00 , 602.96 ,,
8501319010,DC GENERATORS OF AN OUTPUT =<750W,NMB,MALAYSIA, 4.00 ," 52,317.52 ",,
8504500000,"INDUCTORS, NES",NMB,SRI LANKA, 1.00 , 230.48 ,,
8505190000,PERMANENT MAGNETS AND ARTICLES BECOMING PERMANENT MAGNETS (EXCL. METAL),NMB,SWITZERLAND, 248.00 ," 11,441.23 ",,
8505190000,PERMANENT MAGNETS AND ARTICLES BECOMING PERMANENT MAGNETS (EXCL. METAL),NMB,UNITED ARAB EMIRATES," 3,000.00 "," 9,226.80 ",,
8507609000,LITHIUM-ION ELECTRIC ACCUMULATORS NOT ELSEWHERE SPECIFIED,NMB,SRI LANKA, 1.00 , 537.78 ,,
8508110000,"VACUUM CLEANERS WITH SELF-CONTAINED ELECTRIC MOTOR, POWER =<1500W & HAVING A DUST BAG.",NMB,SRI LANKA, 1.00 , 15.36 ,,
8509400011,FOOD GRINDER AND MIXERS (ELECTRO-MECHANICAL) DOMESTIC,NMB,SRI LANKA, 2.00 , 353.40 ,,
8509400012,EGG BEATER (ELECTRO-MECHANICAL) DOMESTIC,NMB,SRI LANKA, 1.00 , 46.10 ,,
8509800099,"ELECTRO-MECHANICAL DOMESTIC APPLIANCES, NES, WITH ELECTRIC MOTOR",NMB,SRI LANKA, 1.00 , 276.57 ,,
8510100000,SHAVERS WITH SELF-CONTAINED ELECTRIC MOTOR,NMB,SRI LANKA, 1.00 , 307.30 ,,
8512201010,LIGHTING OR VISUAL SIGNALLING EQUIPMENT FOR VEHICLES,NMB,SRI LANKA, 2.00 , 107.56 ,,
8513100010,TORCH,NMB,SOUTH AFRICA, 1.00 , 30.73 ,,
8513100010,TORCH,NMB,SRI LANKA, 3.00 , 338.04 ,,
8516101099,"ELECTRIC INSTANTANEOUS WATER HEATERS (DOMESTIC),NES",NMB,SRI LANKA, 2.00 , 322.67 ,,
8516310000,ELECTRO-THERMIC HAIR DRYERS,NMB,SRI LANKA, 1.00 , 107.56 ,,
8516500000,MICROWAVE OVENS,NMB,SRI LANKA, 4.00 ," 1,045.80 ",,
8516600010,COOKER ELECTRIC (DOMESTIC),NMB,SRI LANKA, 9.00 ," 3,310.28 ",,
8516720000,ELECTRO-THERMIC TOASTERS (DOMESTIC),NMB,SRI LANKA, 4.00 , 491.68 ,,
8516790010,KETTLE (ELECTRIC) DOMESTIC,NMB,SRI LANKA, 7.00 ," 1,236.75 ",,
8516790015,ROTI MAKER (ELECTRIC) DOMESTIC,NMB,SRI LANKA, 1.00 , 30.73 ,,
8516790099,ELECTRO-THERMIC APPLIANCES (DOMESTIC),NMB,SRI LANKA, 2.00 , 238.16 ,,
8518210000,"SINGLE LOUDSPEAKERS, MOUNTED IN THEIR ENCLOSURES",NMB,MALAYSIA, 1.00 , 61.57 ,,
8518300010,EARPHONE & HEADPHONES,NMB,MALAYSIA, 1.00 , 46.11 ,,
8518300010,EARPHONE & HEADPHONES,NMB,SOUTH AFRICA, 3.00 , 107.56 ,,
8518300010,EARPHONE & HEADPHONES,NMB,SRI LANKA, 1.00 , 230.48 ,,
8521900011,"VIDEO RECORDING OR REPRODUCING APPARATUS W/WITHOUT V.TUNER, NETWORK TRANSMISSION SYSTEM.",NMB,SRI LANKA, 1.00 , 61.46 ,,
8523410010,OPTICAL MEDIA (UNRECORDED),NMB,SOUTH AFRICA, 20.00 , 307.30 ,,
8523410010,OPTICAL MEDIA (UNRECORDED),NMB,SRI LANKA, 90.00 , 369.52 ,,
8523490010,OPTICAL MEDIA (RECORDED),NMB,SRI LANKA, 1.00 , 307.30 ,,
8523510000,SEMICONDUCTOR MEDIA (SOLID-STATE NON-VOLATILE STORAGE DEVICES),NMB,UNITED ARAB EMIRATES, 350.00 , 269.19 ,,
8525800011,DIGITAL CAMERA.,NMB,SOUTH AFRICA, 6.00 ," 2,842.52 ",,
8525800011,DIGITAL CAMERA.,NMB,SRI LANKA, 6.00 , 184.38 ,,
8525800013,VIDEO CAMERA.,NMB,SRI LANKA, 3.00 ," 6,299.66 ",,
8527130000,RADIO BROADCAST RECEPT.APPARATUS COMB.WITH SOUND RECORDING/REPRO.APPARATUS,NMB,SRI LANKA, 1.00 , 384.12 ,,
8527910000,"OTHER RECEPTION APPARATUS FOR RADIO-BROADCASTING, COMBINED WITH SOUND RECORDING OR ..",NMB,SOUTH AFRICA, 5.00 , 768.25 ,,
8528710010,RECEIVER DECORDER.,NMB,SRI LANKA, 1.00 , 230.48 ,,
8528720010,TV ( COLOUR ).,NMB,SRI LANKA, 3.00 ," 13,060.25 ",,
8529101111,DISH ANTENNA,NMB,SRI LANKA, 1.00 , 307.30 ,,
8529101199,"AERIALS & AERIAL REFLECTORS OF ALL KINDS; PARTS SUITABLE FOR USE THEREWITH,NES",NMB,SRI LANKA, 1.00 , 76.82 ,,
8535290000,AUTOMATIC CIRCUIT BREAKERS FOR A VOLTAGE>=72.5 KV,NMB,SRI LANKA, 2.00 , 153.65 ,,
8535900013,SOCKET >1000V,NMB,SRI LANKA, 11.00 , 629.97 ,,
8536509011,SWITCH =<1000V,NMB,SRI LANKA, 77.00 ," 1,908.33 ",,
8536610000,"LAMP-HOLDERS, =<1000 V",NMB,SRI LANKA, 2.00 , 61.46 ,,
8536699011,SOCKETS (EXCL. FOR VEHICLES) =<1000V,NMB,SRI LANKA, 10.00 , 307.56 ,,
8536909013,"ELECTRICAL FITTINGS,NES",NMB,SRI LANKA, 9.00 , 138.28 ,,
8537100011,ELECTRICAL DISTRIBUTION/PANEL BOARD =<1000V,NMB,SRI LANKA, 20.00 ," 138,863.34 ",,
8539500000,LIGHT-EMITTING DIODE (LED) LAMPS,NMB,SOUTH AFRICA, 7.00 , 522.41 ,,
8539500000,LIGHT-EMITTING DIODE (LED) LAMPS,NMB,SRI LANKA, 21.00 ," 1,052.50 ",,
8543701300,ELECTRONIC CIGARETTES AND SIMILAR ELECTRIC VAPORISING DEVICES,NMB,SRI LANKA, 1.00 , 15.36 ,,
8544420015,"CABLE <=1,000V, FITTED WITH CONNECTORS.",NMB,SRI LANKA, 1.00 , 76.82 ,,
8544420016,USB CABLE (FITTED WITH CONNECTORS).,NMB,SRI LANKA, 1.00 , 38.41 ,,
8712000010,BICYCLE,NMB,SRI LANKA, 3.00 ," 1,152.38 ",,
8714101090,PARTS & ACCESSORIES OF MOTOCYCLES (INCL MOPEDS) NES,NMB,SRI LANKA, 1.00 , 61.46 ,,
8803300010,"AIRCRAFT PARTS, NES",NMB,SAUDI ARABIA," 11,992.00 "," 365,299.40 ",,
8903100010,CANOE (INFLATABLE),NMB,SOUTH AFRICA, 1.00 ," 76,825.00 ",,
9002110010,LENS FOR CAMERA,NMB,SOUTH AFRICA, 1.00 , 30.73 ,,
9004100000,SUNGLASSES,NMB,SOUTH AFRICA, 6.00 , 184.38 ,,
9004100000,SUNGLASSES,NMB,SRI LANKA, 6.00 , 414.86 ,,
9010600000,PROJECTION SCREENS,NMB,SOUTH AFRICA, 1.00 ," 1,229.20 ",,
9017209014,TEMPLATE,NMB,UNITED ARAB EMIRATES, 1.00 , 172.88 ,,
9017809011,MEASURING TAPE (OTHER THAN TAILOR'S TAPE),NMB,SRI LANKA, 1.00 , 30.73 ,,
9019109015,"MECHANO-THERAPY APPLIANCES, MASSAGE APPLIANCES, PSYCHOLOGICAL (OTHER THAN MEDICAL)",NMB,SRI LANKA, 2.00 , 122.92 ,,
9020000010,BREATHING APPARATUS AND APPLIANCES (MEDICAL),NMB,SOUTH AFRICA, 1.00 ," 3,073.00 ",,
9027801010,"INSTRUMENTS AND APPARATUS FOR PHYSICAL OR CHEMICAL ANALYSIS (OTHER THAN MEDICAL), NES",NMB,SOUTH AFRICA, 1.00 , 76.82 ,,
9028200000,LIQUID METERS,NMB,SRI LANKA, 1.00 , 76.82 ,,
9030320000,MUTIMETERS WITH A RECORDING DEVICE.,NMB,SRI LANKA, 3.00 , 222.78 ,,
9030330000,"OTHER INSTRUMENTS.. FOR MEASURING/CHECKING VOLTAGE, CURRENT, ETC, WITHOUT A RECORDING D",NMB,SRI LANKA, 4.00 , 107.55 ,,
9030390000,"INSTRUMENTS... FOR MEASURING/CHECKING VOLTAGE, CURRENT, ETC, NES",NMB,SRI LANKA, 1.00 , 130.60 ,,
9031800099,"INSTRUMENTS, APPLIANCES & MACHINES FOR MEASURING OR CHECKING, NES",NMB,SOUTH AFRICA, 1.00 , 30.73 ,,
9031800099,"INSTRUMENTS, APPLIANCES & MACHINES FOR MEASURING OR CHECKING, NES",NMB,SRI LANKA, 2.00 , 55.31 ,,
9102110000,"ELECTRIC.OPERATED WRISTWATCHES,MECHANICAL DISPLAY ONLY(EXC.PRECIOUS METAL)",NMB,SRI LANKA, 2.00 , 998.73 ,,
9102190000,"ELECTRIC.OPERATED WRIST-WATCHES,NES(EXCL.THOSE WITH CASE OF PRECIOUS METAL",NMB,SOUTH AFRICA, 6.00 , 184.38 ,,
9105190000,ALARM CLOCKS (EXCL. ELECTRICALLY OPERATED),NMB,SRI LANKA, 1.00 , 30.73 ,,
9114900010,OTHER CLOCK PARTS,NMB,SOUTH AFRICA, 2.00 , 107.55 ,,
9207100010,KEYBOARD INSTRUMENTS WITH ELECTRICALLY PRODUCED OR AMPLIFIED SOUND,NMB,SRI LANKA, 1.00 , 384.12 ,,
9207900000,"MUSICAL INSTRUMENTS, NES, WITH ELECTRICALLY PRODUCED OR AMPLIFIED SOUND",NMB,SOUTH AFRICA, 1.00 ," 1,229.20 ",,
9401610000,"UPHOLSTERED SEATS, WITH WOODEN FRAMES",NMB,SINGAPORE, 1.00 ," 4,613.40 ",,
9401610000,"UPHOLSTERED SEATS, WITH WOODEN FRAMES",NMB,SOUTH AFRICA, 1.00 ," 3,073.00 ",,
9401690000,"SEATS WITH WOODEN FRAMES, NOT UPHOLSTERED",NMB,GREAT BRITAIN, 1.00 , 435.70 ,,
9401690000,"SEATS WITH WOODEN FRAMES, NOT UPHOLSTERED",NMB,SRI LANKA, 1.00 , 291.94 ,,
9401800000,"SEATS, NES",NMB,SRI LANKA, 182.00 ," 1,345.13 ",,
9403200099,"OTHER METAL FURNITURE, NES",NMB,SRI LANKA, 1.00 , 76.82 ,,
9403600027,"WOODEN FURNITURE, NES",NMB,SRI LANKA, 1.00 , 122.92 ,,
9403700099,"FURNITURE OF PLASTIC, NES",NMB,SRI LANKA, 3.00 , 92.19 ,,
9404210000,MATTRESSES OF CELLULAR RUBBER OR PLASTICS,NMB,SOUTH AFRICA, 1.00 ," 1,536.50 ",,
9404900019,BEDDING SET,NMB,MALAYSIA, 2.00 , 153.92 ,,
9503000099,"TOYS, NES.",NMB,AUSTRALIA, 1.00 , 76.94 ,,
9503000099,"TOYS, NES.",NMB,MALAYSIA, 10.00 , 169.07 ,,
9503000099,"TOYS, NES.",NMB,SOUTH AFRICA, 21.00 ," 1,306.03 ",,
9503000099,"TOYS, NES.",NMB,SRI LANKA, 16.00 ," 2,327.79 ",,
9503000099,"TOYS, NES.",NMB,UNITED ARAB EMIRATES," 1,380.00 "," 2,123.30 ",,
9504400000,PLAYING CARDS,NMB,UNITED ARAB EMIRATES, 250.00 , 384.69 ,,
9504500010,PLAY STATION,NMB,SOUTH AFRICA, 1.00 , 153.65 ,,
9504900099,ARTICLES & ACCESSORIES FOR INDOOR GAMES (NOT SPECIFIED),NMB,SOUTH AFRICA, 5.00 , 291.93 ,,
9506290014,FINS & FLIPPERS,NMB,SOUTH AFRICA, 1.00 , 460.95 ,,
9506290016,MASK AND SNORKEL,NMB,SRI LANKA, 2.00 , 491.68 ,,
9506290099,WATER SPORTS EQUIPMENT (NOT SPECIFIED),NMB,CZECH REPUBLIC, 1.00 ," 9,235.20 ",,
9506590000,"TENNIS OR SIMILAR RACKETS, NES",NMB,SRI LANKA, 3.00 , 169.01 ,,
9506620011,FOOT BALL,NMB,SWITZERLAND, 12.00 , 369.07 ,,
9506910011,EXERCISING EQUIPMENT,NMB,SOUTH AFRICA, 1.00 ," 4,609.50 ",,
9507300000,FISHING REELS,NMB,SOUTH AFRICA, 2.00 , 153.65 ,,
9507900011,FISHING EQUIPMENTS,NMB,SRI LANKA, 1.00 , 46.10 ,,
9602000000,WORKED VEGETABLE OR MINERAL CARVING MATERIAL & ARTICLES OF THESE,NMB,SOUTH AFRICA, 3.00 , 92.19 ,,
9603210010,TOOTH BRUSHES INCLUDING DENTAL-PLATE BRUSHES OF PLASTIC,NMB,MALAYSIA, 2.00 , 122.93 ,,
9603210010,TOOTH BRUSHES INCLUDING DENTAL-PLATE BRUSHES OF PLASTIC,NMB,SRI LANKA, 3.00 , 46.10 ,,
9603290000,"SHAVING, HAIR, NAIL, EYELASH, TOILET BRUSHES (USE ON PERSON)",NMB,SRI LANKA, 2.00 , 92.19 ,,
9603900099,"OTHER BRUSHES & BROOMS, NES",NMB,SRI LANKA, 13.00 , 176.70 ,,
9608100000,BALL-POINT PENS,NMB,MALAYSIA, 1.00 , 30.74 ,,
9608100000,BALL-POINT PENS,NMB,SRI LANKA, 30.00 , 192.06 ,,
9608100000,BALL-POINT PENS,NMB,SWITZERLAND, 236.00 ," 7,258.42 ",,
9608200011,MARKER,NMB,SRI LANKA, 7.00 , 107.55 ,,
9608991000,OTHER PEN AND PENCILS,NMB,SRI LANKA, 12.00 , 107.56 ,,
9609100010,COLOUR PENCIL,NMB,SRI LANKA, 12.00 , 53.78 ,,
9609100012,PENCIL,NMB,SRI LANKA, 176.00 ," 2,012.82 ",,
9609100012,PENCIL,NMB,SWITZERLAND, 248.00 ," 7,627.49 ",,
9615900010,"HAIR BAND, GRIP, PIN, SLIDES AND THE LIKE",NMB,SRI LANKA, 10.00 , 53.78 ,,
9619000010,SANITARY TOWELS AND TAMPONS,NMB,SRI LANKA, 177.00 , 230.47 ,,
9619000012,NAPKINS FOR BABIES (DIAPERS) DISPOSABLE,NMB,SRI LANKA, 364.00 , 906.54 ,,
9701100000,"PAINTINGS, DRAWINGS AND PASTELS, EXECUTED ENTIRELY BY HAND, NES",NMB,SOUTH AFRICA, 6.00 ," 2,612.05 ",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
