MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UKRAINE, 214.49 ," 76,850.72 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 4,776.92 "," 584,706.13 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED STATES," 15,497.15 "," 345,985.42 ",,
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,MALAYSIA, 0.25 , 10.47 ,,
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,NETHERLANDS, 224.10 ," 6,883.23 ",,
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,SPAIN, 653.20 ," 20,063.03 ",,
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,UNITED STATES," 60,710.00 "," 873,898.53 ",,
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,FRANCE," 4,752.07 "," 683,873.14 ",,
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GERMANY," 1,020,039.71 "," 6,366,957.98 ",,
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,POLAND, 3.00 , 46.10 ,,
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,SRI LANKA, 5.50 , 84.52 ,,
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,SWITZERLAND, 96.71 ," 20,229.57 ",,
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,THAILAND, 75.77 ," 5,157.81 ",,
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,GERMANY, 214.88 ," 11,888.19 ",,
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,ITALY, 57.92 ," 3,732.87 ",,
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,SWITZERLAND, 0.90 , 88.46 ,,
304499013,REEF FISH LOIN (FRESH OR CHILLED),KGM,SRI LANKA, 80.00 , 614.70 ,,
304591010,TUNA BELLY FLAP (FRESH OR CHILLED),KGM,FRANCE, 16.13 , 917.13 ,,
304591010,TUNA BELLY FLAP (FRESH OR CHILLED),KGM,ITALY, 15.95 , 368.22 ,,
304591010,TUNA BELLY FLAP (FRESH OR CHILLED),KGM,UNITED STATES, 585.00 ," 13,502.53 ",,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,FRANCE," 8,825.41 "," 468,288.44 ",,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GERMANY, 104.39 ," 3,862.57 ",,
