MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2018 ,,,* Subjected to Post Modification,, Updated on :  04/07/2019 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,SINGAPORE, 104.40 ," 3,213.95 "
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,THAILAND, 853.00 ," 26,263.87 "
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,FRANCE," 4,906.67 "," 893,799.93 "
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,NETHERLANDS," 3,232.10 "," 235,393.35 "
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,UNITED STATES," 1,177.00 "," 181,199.15 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,DENMARK, 467.05 ," 14,380.47 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,ITALY," 556,842.69 "," 59,470,782.10 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,POLAND," 23,141.38 "," 4,115,857.35 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWITZERLAND," 153,526.92 "," 27,906,559.92 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UKRAINE, 393.72 ," 12,121.72 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 13,639.23 "," 2,893,916.85 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GERMANY," 349,299.35 "," 47,980,915.81 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NORWAY," 4,379.68 "," 1,141,411.78 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED STATES," 145,359.54 "," 9,416,516.40 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CANADA, 682.15 ," 33,804.44 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NETHERLANDS," 56,291.85 "," 2,544,925.46 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NEW ZEALAND, 49.98 ," 17,696.02 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,THAILAND," 2,587.30 "," 164,911.28 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,AUSTRALIA," 14,683.95 "," 1,317,347.31 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,AUSTRIA," 1,281.70 "," 39,467.26 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BELGIUM," 16,175.34 "," 3,171,218.04 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FRANCE," 437,352.94 "," 52,001,188.01 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GREAT BRITAIN," 33,135.78 "," 2,332,746.90 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,HONG KONG," 78,154.45 "," 405,468.80 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SPAIN," 31,835.40 "," 1,084,228.26 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWEDEN, 560.24 ," 60,403.68 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,VIETNAM, 19.27 , 166.17 
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GERMANY," 12,730.24 "," 881,662.00 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,FRANCE, 12.45 , 766.67 
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,AUSTRALIA, 10.02 , 154.26 
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,ITALY, 91.85 ," 6,252.46 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,GERMANY, 77.22 ," 5,241.80 "
304499011,FRESH OR CHILLED GROUPER FILLET,KGM,RUSSIA, 18.10 ," 3,204.47 "
304499013,REEF FISH LOIN (FRESH OR CHILLED),KGM,FRANCE, 408.87 ," 12,593.20 "
304499099,FISH FILLETS (FRESH OR CHILLED) OTHER THAN TUNA,KGM,SRI LANKA, 60.50 ," 3,726.80 "
304591012,BELLY FLAP (BIGEYE TUNA) FRESH OR CHILLED,KGM,FRANCE, 6.06 , 186.62 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,BELGIUM, 5.56 , 385.21 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GERMANY, 486.23 ," 26,171.43 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,SPAIN, 13.30 , 409.47 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,SWITZERLAND, 10.13 ," 1,167.60 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,UNITED ARAB EMIRATES, 4.91 , 189.05 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,ITALY, 996.99 ," 53,280.57 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,AUSTRIA, 27.57 , 848.70 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,FRANCE," 6,704.61 "," 386,409.31 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,HONG KONG, 26.30 ," 2,485.96 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,NETHERLANDS, 18.76 , 577.55 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,UNITED STATES, 2.90 , 44.64 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,CHINA," 54,000.00 "," 3,392,046.72 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,SPAIN," 7,000.00 "," 53,873.75 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,FRANCE," 20,427.24 "," 323,644.69 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED STATES," 63,739.50 "," 4,870,158.94 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,ITALY," 24,360.00 "," 1,932,897.12 "
