MALDIVES CUSTOMS SERVICE,,,,,
 Statistics and Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2024 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 26/1/2025 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
308190011,SEA CUCUMBER (DRIED),KGM,HONG KONG," 72,640 "," 3,008,505 "
308190011,SEA CUCUMBER (DRIED),KGM,MALAYSIA," 35,149 "," 626,442 "
308190011,SEA CUCUMBER (DRIED),KGM,SINGAPORE," 9,995 "," 510,903 "
308190011,SEA CUCUMBER (DRIED),KGM,SRI LANKA," 1,555 "," 43,403 "
308190011,SEA CUCUMBER (DRIED),KGM,UNITED STATES," 1,625 "," 125,053 "
309100000,"FLOURS, MEALS AND PALLETS OF FISH FIT FOR HUMAN CONSUMPTION",KGM,SRI LANKA, 5 , 293 
707000010,CUCUMBER ( FRESH OR CHILLED ),KGM,SRI LANKA, 3 , 12 
709300000,"AUBERGINES, FRESH OR CHILLED",KGM,SRI LANKA, 4 , 25 
709930014,PUMPKIN & SQUASH (FRESH OR CHILLED),KGM,SRI LANKA, 4 , 8 
802800000,ARECA NUTS (FRESH OR DRIED),KGM,MALAYSIA, 1 , 60 
802990000,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,BAHRAIN," 1,226 "," 188,642 "
803901000,BANANA (FRESH),KGM,SRI LANKA, 2 , 12 
807110000,"WATERMELONS, FRESH",KGM,SRI LANKA, 4 , 4 
910910000,SPICE MIXTURES,KGM,MALAYSIA, 1 , 139 
1504100012,"FISH-LIVER OILS & THEIR FRACTIONS, NES",LTR,SRI LANKA, 1 , 60 
1518009000,"ANIMAL OR VEGETABLE FATS & OILS & THEIR FRACTIONS, CHEMICALLY MODIFIED NES",KGM,MALAYSIA," 32,000 "," 160,004 "
1602509010,"BEEF (PREPARED, PRESERVED), NOT CONTAINING ALCOHOL",KGM,SRI LANKA, 1 , 8 
1603001010,FISH PASTE,KGM,GERMANY, 5 ," 1,895 "
1603001010,FISH PASTE,KGM,MALAYSIA, 2 , 616 
1603001010,FISH PASTE,KGM,SRI LANKA, 2 , 274 
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,GERMANY," 1,397,032 "," 120,977,290 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,GREAT BRITAIN," 3,655,825 "," 297,788,350 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,NETHERLANDS," 33,053 "," 3,224,999 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,NORWAY," 15,988 "," 1,122,607 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,SOUTH AFRICA," 15,525 "," 1,349,106 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,SPAIN," 31,764 "," 2,272,176 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,SRI LANKA," 88,108 "," 100,394 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,SWITZERLAND," 217,493 "," 17,270,795 "
1604140011,SKIPJACK TUNA PREPARED OR PRESERVED),KGM,UNITED STATES," 29,990 "," 3,020,721 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,BAHRAIN, 13 , 770 
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,EGYPT," 67,392 "," 4,586,898 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,GERMANY," 30,720 "," 2,124,901 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,GREAT BRITAIN," 141,451 "," 10,280,139 "
