MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2022 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 25/01/2023 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWITZERLAND," 149,402.51 "," 9,814,231.81 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,THAILAND," 1,528.80 "," 426,849.24 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UKRAINE, 25.05 ," 10,105.34 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 9,037.49 "," 1,302,008.12 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED STATES," 36,961.80 "," 377,381.70 "
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,INDONESIA," 9,500.00 "," 73,090.62 "
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,UNITED STATES," 35,343.90 "," 546,625.50 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,FRANCE," 4,548.18 "," 643,788.88 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GERMANY," 13,555.05 "," 633,367.53 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,ITALY, 35.26 ," 4,114.14 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,NETHERLANDS, 15.00 ," 1,270.09 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,GERMANY, 301.21 ," 15,642.15 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,ITALY, 114.97 ," 6,207.02 "
304591010,TUNA BELLY FLAP (FRESH OR CHILLED),KGM,ITALY, 7.00 , 161.54 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,FRANCE," 10,319.20 "," 530,941.41 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GERMANY, 291.23 ," 10,344.80 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,ITALY, 340.18 ," 20,346.70 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,THAILAND, 89.85 ," 6,159.37 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,RUSSIA," 2,944.99 "," 479,811.80 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,SRI LANKA," 20,000.00 "," 153,900.00 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,THAILAND," 8,000.00 "," 1,484,174.48 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED STATES," 58,371.43 "," 624,841.50 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,AZERBAIJAN, 0.98 , 9.08 
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,FRANCE," 25,613.70 "," 197,123.03 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,INDONESIA," 10,050.00 "," 77,322.19 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,PHILIPPINES," 19,277.00 "," 80,478.63 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SERBIA," 25,994.44 "," 197,455.02 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SPAIN," 10,612.00 "," 855,650.87 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SRI LANKA," 49,547.00 "," 352,186.85 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,THAILAND," 206,920.21 "," 6,369,631.85 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED ARAB EMIRATES," 6,006.00 "," 46,208.66 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED STATES," 15,421.07 "," 235,830.92 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,PHILIPPINES," 38,135.00 "," 511,776.32 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,SPAIN," 62,500.00 "," 2,416,393.92 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,THAILAND," 186,084.00 "," 4,401,824.66 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,VIETNAM," 81,088.00 "," 1,272,349.05 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,NETHERLANDS," 9,936.00 "," 76,424.23 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,UNITED STATES," 15,668.94 "," 77,045.00 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,FRANCE," 21,044.90 "," 153,995.38 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,MALAYSIA, 414.80 ," 20,682.81 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,SPAIN, 3.98 , 61.23 
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,TURKEY," 25,538.46 "," 196,454.61 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,UNITED STATES," 6,921.24 "," 319,657.33 "
304870019,FROZEN LOINS OF SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,AZERBAIJAN, 0.74 , 6.77 
304870019,FROZEN LOINS OF SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,MAURITIUS," 108,074.00 "," 2,894,446.51 "
304870019,FROZEN LOINS OF SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,THAILAND," 168,063.00 "," 4,095,065.17 "
304870019,FROZEN LOINS OF SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,UNITED STATES," 1,358.18 "," 20,895.60 "
304890011,MARLIN LOIN(FROZEN),KGM,RUSSIA, 385.25 ," 63,796.11 "
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,TAIWAN," 12,672.00 "," 97,523.71 "
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,UNITED STATES," 333,557.63 "," 2,637,930.81 "
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,SRI LANKA, 52.02 ," 6,249.75 "
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,UNITED STATES," 10,753.64 "," 82,722.37 "
305391010,"SKIPJACK FILLET (DRIED,SALTED,BRINE)",KGM,SRI LANKA," 4,120.00 "," 31,698.25 "
305391011,"TUNA FILLET (DRIED,SALTED,IN BRINE BUT NOT SMOKED)",KGM,SRI LANKA, 875.00 ," 6,732.03 "
305391012,"YELLOWFIN TUNA LOIN (DRIED,SALTED,IN BRINE) BUT NOT SMOKED",KGM,SRI LANKA," 3,000.00 "," 23,074.95 "
305399098,"OTHER FRESH WATER FISH (DRIED, SALTED OR IN BRINE, BUT NOT SMOKED), NES ",KGM,SRI LANKA, 18.00 , 538.72 
305491010,SKIPJACK (SMOKED),KGM,JAPAN, 144.00 ," 6,096.42 "
305491010,SKIPJACK (SMOKED),KGM,SRI LANKA, 945.30 ," 15,189.81 "
305491011,TUNA (SMOKED),KGM,MALAYSIA, 220.40 ," 10,317.25 "
305491011,TUNA (SMOKED),KGM,SRI LANKA, 99.55 ," 2,421.16 "
305491012,YELLOWFIN TUNA FILLET (SMOKED),KGM,JAPAN, 32.00 ," 1,354.91 "
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,MALAYSIA, 3.68 , 238.43 
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,SRI LANKA, 1.00 , 123.07 
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,SRI LANKA," 34,176.00 "," 650,195.61 "
305540000,"DRIED SWORDFISH, BONITOS, MARLINS, SAILFISHES, SPEARFISH ETC (EXCL. SMOKED)",KGM,INDIA," 1,650.00 "," 12,692.63 "
305540000,"DRIED SWORDFISH, BONITOS, MARLINS, SAILFISHES, SPEARFISH ETC (EXCL. SMOKED)",KGM,SRI LANKA," 49,089.50 "," 421,013.44 "
305591010,SKIPJACK (DRIED),KGM,INDIA," 6,125.00 "," 47,116.56 "
305591010,SKIPJACK (DRIED),KGM,SRI LANKA," 778,133.43 "," 9,144,779.06 "
305591011,SKIPJACK (SALTED DRIED),KGM,INDIA, 800.00 ," 6,154.00 "
