MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2017,,* Provisional/Subjected to Post Modification,,, Updated on : 07/05/2018 
,,,,,
CODE,HSDESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CZECH REPUBLIC," 3,871.80 "," 166,711.90 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FRANCE," 439,819.74 "," 50,661,741.49 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GERMANY," 365,730.27 "," 54,101,683.56 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GREAT BRITAIN," 28,941.71 "," 3,266,735.60 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,HONG KONG," 1,746.72 "," 121,775.70 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,ITALY," 476,304.62 "," 39,888,734.50 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,JAPAN," 1,138.75 "," 54,350.57 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NETHERLANDS," 25,488.87 "," 1,656,523.85 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NORWAY," 3,224.79 "," 699,727.43 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,POLAND," 22,023.37 "," 3,474,245.94 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SPAIN, 60.84 ," 28,098.95 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWITZERLAND," 199,187.16 "," 42,585,157.75 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,THAILAND," 5,432.35 "," 168,614.57 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 8,482.51 "," 1,475,376.45 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED STATES," 139,023.14 "," 10,444,656.66 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,FRANCE, 180.80 ," 6,503.96 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GERMANY, 366.14 ," 100,309.38 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GREAT BRITAIN, 76.71 ," 7,520.45 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,NORWAY, 8.56 ," 1,666.77 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,UNITED STATES," 1,390.84 "," 64,235.94 "
304499012,MARLIN LOIN (FRESH OR CHILLED),KGM,GERMANY, 57.89 ," 2,675.55 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,BELGIUM, 15.98 , 981.27 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,CHINA, 295.21 ," 19,574.41 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,CZECH REPUBLIC, 74.77 ," 2,929.30 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,FRANCE," 5,183.04 "," 259,982.37 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GERMANY, 389.17 ," 16,570.21 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,IRELAND, 14.44 , 444.34 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,ITALY," 1,057.62 "," 57,592.09 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,SINGAPORE, 19.73 ," 2,728.81 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,SPAIN, 13.09 , 403.17 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,UNITED ARAB EMIRATES, 26.40 ," 1,667.03 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,UNITED STATES," 2,506.98 "," 104,935.22 "
304870010,SKIPJACK FILLET (FROZEN),KGM,IRELAND," 3,472.00 "," 160,328.28 "
304870010,SKIPJACK FILLET (FROZEN),KGM,SOUTH AFRICA, 14.00 , 215.50 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,CHINA," 53,587.40 "," 3,283,412.50 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,SPAIN, 20.00 , 307.85 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED STATES," 80,925.55 "," 2,577,718.54 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,AUSTRALIA, 165.97 ," 4,502.49 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,CHINA," 53,994.90 "," 3,599,318.98 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,FRANCE," 97,440.00 "," 7,947,940.19 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,GERMANY, 58.80 ," 6,644.09 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,ITALY," 117,115.99 "," 8,285,026.89 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SOUTH AFRICA, 37.57 ," 1,018.49 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SPAIN," 146,165.80 "," 8,852,404.28 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,THAILAND," 44,616.60 "," 542,702.69 "
